Model,Testing Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8974358974358975,0.9333333333333333,0.9333333333333333,0.9333333333333333
Naive Bayes,0.7435897435897436,1.0,0.6666666666666666,0.8
XG Boost,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913044
Decision Tree,0.8974358974358975,0.9333333333333333,0.9333333333333333,0.9333333333333333
Support Vector Machine,0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523
